t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
1092600.0,12.645833333333334,-3.136360715441544,-179.70023202543183,3.0010568368851387e-07,9.396447237701459e-08,2.9245578805806613e-08,6.679217064152892e-09,4.2043452172736454e-09,2.633567713874944e-09,-257295295.58955187,-334626683.6897251,-623742314.2806344,-246336366.7909458,116629193.99027197,-1064193342.27168
1092900.0,12.649305555555555,-3.136408879508134,-179.70299162317164,3.0018792130298794e-07,9.399032338012245e-08,2.92536068927018e-08,6.679183521071432e-09,4.204383742401804e-09,2.6335685961624337e-09,-253158587.02007556,-337769751.2504739,-622209279.2502575,-250166054.16078326,119873081.4945392,-1063832798.342041
1093200.0,12.652777777777779,-3.1364575194849884,-179.705778488561,3.00270157910344e-07,9.401617499116784e-08,2.9261634982642932e-08,6.679150797845775e-09,4.204422192255809e-09,2.633569485366599e-09,-248983499.07143083,-340861610.80509835,-620652715.114635,-253986281.96731287,123115856.85795727,-1063462364.3816361
1093500.0,12.65625,-3.136506631361951,-179.7085923918349,3.0035239353573586e-07,9.40420272087835e-08,2.9269663075670398e-08,6.679118899678353e-09,4.204460564987697e-09,2.6335703813914e-09,-244770665.2389353,-343901794.3890205,-619072680.1174567,-257796905.4621663,126357489.90807718,-1063082043.8006291
1093800.0,12.659722222222221,-3.1365562110933585,-179.71143310119396,3.0043462820447566e-07,9.406788003157336e-08,2.9277691171824438e-08,6.679087831606267e-09,4.204498858745991e-09,2.6335712841352053e-09,-240520724.70845252,-346889841.86656123,-617469233.3944385,-261597780.2530368,129597950.48276761,-1062691840.1013355
1094100.0,12.663194444444445,-3.136606254598778,-179.71430038284655,3.0051686194202943e-07,9.409373345811256e-08,2.928571927114513e-08,6.679057598501028e-09,4.204537071676462e-09,2.633572193490685e-09,-236234322.25985673,-349825300.9997288,-615842434.9711874,-265388762.3092212,132837208.430501,-1062291756.8781923
1094400.0,12.666666666666666,-3.1366567577637383,-179.7171940010508,3.005990947740122e-07,9.411958748694756e-08,2.9293747373672376e-08,6.679028205068316e-09,4.204575201922842e-09,2.633573109344693e-09,-231912108.16967613,-352707727.5158234,-614192345.7610306,-269169707.96714854,136075233.61063975,-1061881797.8177284
1094700.0,12.67013888888889,-3.1367077164404833,-179.72011371815788,3.006813267261832e-07,9.414544211659624e-08,2.930177547944587e-08,6.678999655847789e-09,4.204613247627525e-09,2.6335740315781642e-09,-227554738.1129288,-355536685.17384684,-612519027.5628102,-272940473.9358958,139311995.89372227,-1061461966.6985334
1095000.0,12.67361111111111,-3.1367591264486983,-179.72305929465332,3.0076355782444103e-07,9.417129734554796e-08,2.9309803588505104e-08,6.6789719552128905e-09,4.2046512069322185e-09,2.633574960066e-09,-223162873.06416607,-358311745.8297094,-610822543.0586438,-276700917.30268997,142547465.16174912,-1061032267.3912266
1095300.0,12.677083333333334,-3.136810983576253,-179.7260304891999,3.0084578809481874e-07,9.419715317226366e-08,2.931783170088932e-08,6.678945107370701e-09,4.204689077978583e-09,2.633575894676973e-09,-218737179.19773728,-361032489.500224,-609102955.8116494,-280450895.53839684,145781611.3084692,-1060592703.8584234
1095600.0,12.680555555555555,-3.136863283579924,-179.72902705867875,3.009280175634792e-07,9.4223009595176e-08,2.932585981663752e-08,6.6789191163617984e-09,4.204726858908833e-09,2.633576835273628e-09,-214278327.78729144,-363698504.4258782,-607360330.2636368,-284190266.50299555,149014404.23966566,-1060143280.1547024
1095900.0,12.684027777777779,-3.1369160221861243,-179.73204875823143,3.0101024625671013e-07,9.42488666126894e-08,2.933388793578842e-08,6.678893986060168e-09,4.204764547866309e-09,2.63357778171219e-09,-209786995.10452992,-366309387.1323763,-605594731.7327636,-287918888.4510396,152245813.87344217,-1059684000.4265712
1096200.0,12.6875,-3.136969195091634,-179.7350953413016,3.0109247420091937e-07,9.427472422318018e-08,2.934191605838045e-08,6.678869720173126e-09,4.204802142996029e-09,2.6335787338424755e-09,-205263862.3172255,-368864742.49094105,-603806226.4111577,-291636620.0371033,155475810.14050886,-1059214868.9124312
1096500.0,12.690972222222221,-3.1370227979643133,-179.73816655967588,3.0117470142263e-07,9.430058242499663e-08,2.9349944184451724e-08,6.678846322241283e-09,4.2048396424452135e-09,2.633579691507815e-09,-200709615.38652247,-371364183.77736807,-601994881.362505,-295343320.32121366,158704362.9844683,-1058735889.9425418
1096800.0,12.694444444444445,-3.137076826443834,-179.74126216352593,3.0125692794847537e-07,9.43264412164592e-08,2.9357972314040024e-08,6.678823795638532e-09,4.204877044363778e-09,2.633580654544977e-09,-196124944.96353313,-373807332.72982407,-600160764.5196021,-299038848.7742683,161931442.36210164,-1058247067.9389836
1097100.0,12.697916666666666,-3.1371312761423855,-179.7443819014487,3.0133915380519446e-07,9.43523005958605e-08,2.9366000447182776e-08,6.678802143572076e-09,4.204914346904811e-09,2.633581622784101e-09,-191510546.28524548,-376193819.6053803,-598303944.6818768,-302723065.283438,165157018.24365443,-1057748407.4156208
1097400.0,12.70138888888889,-3.1371861426453966,-179.74752552050788,3.014213790196269e-07,9.43781605614655e-08,2.9374028583917036e-08,6.678781369082489e-09,4.204951548225025e-09,2.633582596048644e-09,-186867119.06975785,-378523283.23527324,-596424491.512872,-306395830.157554,168381060.61312258,-1057239912.978063
1097700.0,12.70486111111111,-3.137241421512245,-179.75069276627457,3.0150360361870816e-07,9.440402111151164e-08,2.938205672427946e-08,6.6787614750438185e-09,4.204988646485185e-09,2.63358357415532e-09,-182195367.41085544,-380795371.0788855,-594522475.5376974,-310057004.1324805,171603539.46853817,-1056721589.3236263
1098000.0,12.708333333333334,-3.1372971082769663,-179.75388338286783,3.015858276294647e-07,9.442988224420889e-08,2.9390084868306286e-08,6.678742464163714e-09,4.205025639850518e-09,2.63358455691407e-09,-177495999.67194423,-383009739.2764383,-592597968.1404465,-313706448.376472,174824424.82225546,-1056193441.2412927
